17
23022,POŚWIĘTNE,pętla,0,
23020,Wołowska,Żmigrodzka,1,
23018,Kępińska,Żmigrodzka,1,
23016,Kamieńskiego,Żmigrodzka,1,
23024,Kamieńskiego,Bałtycka,1,
23010,Bałtycka,Bałtycka,1,
10606,Kleczkowska,Reymonta,3,
10604,PL. STASZICA,Pomorska,2,
20611,Dubois,Drobnera,4,
20657,pl. Bema,Sienkiewicza,2,
20801,Ogród Botaniczny,Sienkiewicza,2,
20803,Górnickiego,Sienkiewicza,1,
20805,Piastowska,Sienkiewicza,1,
20807,Grunwaldzka,Sienkiewicza,1,
24201,Kochanowskiego,Różyckiego,3,
24203,Chopina,Różyckiego,1,
24205,Karłowicza,Różyckiego,1,
24207,Stadion Olimpijski,Paderewskiego,1,
24209,8 Maja,Mickiewicza,1,
24211,Godebskiego (AWF Wrocław),Mickiewicza,1,
24214,SĘPOLNO,pętla,0
