33
12410,PILCZYCE,Lotnicza,0,
12408,Metalowców,Lotnicza,1,
12406,Bajana,Lotnicza,2,
12404,Park Zachodni,Lotnicza,1,
12402,DH Astra,Lotnicza,1,
12206,Kwiska,Legnicka,2,
12204,Małopanewska,Legnicka,1,
12202,Niedźwiedzia,Legnicka,1,
10408,ZACHODNIA (Stacja kolejowa),Legnicka,2,
10406,pl. Strzegomski (Muzeum Współczesne),Legnicka,2,
10404,Młodych Techników,Legnicka,1,
10402,PL. JANA PAWŁA II,Legnicka,2,
10004,Rynek,Kazimierza Wlk.,2,
10002,Świdnicka,Kazimierza Wlk.,3,
10052,Park Staromiejski,Teatralna,2,
10221,Wzgórze Partyzantów,Piotra Skargi,1,
10223,DWORZEC GŁÓWNY,Kołłątaja,2,
20269,DWORZEC GŁÓWNY,Peronowa,1,
11001,DWORZEC AUTOBUSOWY,Borowska,2,
11035,Sanocka,Ślężna,3,
11231,Uniwersytet Ekonomiczny,Ślężna,1,
1,Zajezdnia GAJ,Kamienna,0
