9
1,Zajezdnia GAJ,Kamienna,0,
21036,Uniwersytet Ekonomiczny,Kamienna,1,
11036,Sanocka,Ślężna,1,
21002,DWORZEC AUTOBUSOWY,Borowska,2,
20268,DWORZEC GŁÓWNY,Peronowa,3,
10222,Wzgórze Partyzantów,Kołłątaja,2,
10021,GALERIA DOMINIKAŃSKA,Św. Katarzyny,2,
10027,pl. Nowy Targ,Św. Katarzyny,1,
10023,Hala Targowa,Piaskowa,1,
20657,pl. Bema,Sienkiewicza,2,
20801,Ogród Botaniczny,Sienkiewicza,2,
20803,Górnickiego,Sienkiewicza,1,
20805,Piastowska,Sienkiewicza,1,
20807,Grunwaldzka,Sienkiewicza,1,
24201,Kochanowskiego,Różyckiego,3,
24203,Chopina,Różyckiego,1,
24205,Karłowicza,Różyckiego,1,
24207,Stadion Olimpijski,Paderewskiego,1,
24209,8 Maja,Mickiewicza,1,
24211,Godebskiego (AWF Wrocław),Mickiewicza,1,
24214,SĘPOLNO,pętla,0
